,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,3
0,ca-GrQc,5.0,1.0,6.0,5.0,3.0,5.0,2.0,4.0,7.0,9.0,0.0018336,0.0023026,0.0011098,0.0002604,0.0002694,0.0003072,0.0002164,0.0002354,0.0006218,0.0007876,,,
1,ca-HepTh,6.0,1.0,7.0,5.0,3.0,5.0,2.0,4.0,7.0,9.0,0.0015802,0.0004068,0.0003588,0.0003384,0.000318,0.0003492,0.0002442,0.0003134,0.000806,0.0011728,1.0,7.041474654377881,2.32808532249873
2,ca-CondMat,6.0,1.0,5.0,5.0,3.0,5.0,2.0,4.0,7.0,9.0,0.0025464,0.0007668,0.0003748,0.0005862,0.0004426,0.0004794,0.0003572,0.00075,0.0015556,0.0027152,1.0,4.669621749408983,1.3473738062755796
3,as-caida,5.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,8.0,0.0020004,0.0006412,0.0002864,0.0005088,0.0004746,0.0003478,0.0009906,0.0002746,0.0013844,0.002569,1.0,4.343909928352097,0.9378314672952268
4,ca-HepPh,5.0,1.0,5.0,5.0,3.0,5.0,2.0,4.0,7.0,9.0,0.0015598,0.000615,0.0004024,0.0006228,0.0005122,0.0005456,0.0004298,0.001046,0.0020996,0.0028498,1.0,3.9316037735849054,0.7786687427014402
5,email-Enron,4.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,7.0,0.002204,0.0007864,0.000416,0.001089,0.000595,0.000443,0.0004934,0.001046,0.001429,0.003544,0.9999999999999999,2.504495825305074,0.547336655203874
6,ca-AstroPh,5.0,1.0,4.0,4.0,3.0,5.0,2.0,4.0,6.0,9.0,0.0021956,0.000634,0.000401,0.000811,0.0006036,0.0006206,0.000481,0.0004886,0.0014314,0.0025572,1.0,2.0238751147842056,0.6218961625282167
7,loc-Brightkite,6.0,1.0,5.0,5.0,3.0,5.0,2.0,4.0,6.0,8.0,0.003889,0.0013242,0.0005808,0.0009974,0.000702,0.00075,0.0005828,0.0005916,0.0014016,0.002399,1.0,2.7072749691738593,0.8585953386516503
8,soc-Epinions1,4.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,6.0,0.0044352,0.0018148,0.000695,0.000814,0.0014828,0.0008476,0.0009248,0.0006694,0.0023882,0.0039972,1.0,3.899137758171245,1.6210921217173822
9,com-DBLP,6.0,1.0,9.0,5.0,4.0,5.0,3.0,5.0,7.0,9.0,0.0104278,0.006298,0.0029808,0.0023946,0.0031892,0.0026968,0.0022324,0.0025354,0.006385,0.0130636,1.0,5.448648648648649,1.1095767036925848
10,com-Youtube,6.0,1.0,6.0,5.0,3.0,5.0,2.0,4.0,6.0,8.0,0.0447666,0.0176388,0.0119488,0.0119188,0.011481,0.013634,0.0095194,0.0275932,0.032778,0.0505984,0.9999999999999999,4.354714774910214,0.7982332588260509
11,amazon0601,5.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,6.0,9.0,0.0280942,0.0084016,0.0068752,0.0082314,0.0089448,0.0075952,0.0079608,0.009055,0.035649,0.0542378,1.0,3.755965365640836,0.8847433910953705
12,higgs-twitter,4.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,7.0,0.0914538,0.0197072,0.036492,0.0346648,0.0459374,0.0366986,0.03752,0.0452576,0.120288,0.158441,1.0,3.413052457662123,0.5179819240455918
13,wikipedia-20051105,4.0,1.0,9.0,5.0,3.0,5.0,2.0,5.0,7.0,9.0,0.143079,0.036834,0.115722,0.0581708,0.0698338,0.0952968,0.0562532,0.0964952,0.265676,0.338759,1.0,2.6382324432854074,0.57721044426632
14,soc-LiveJournal1,4.0,1.0,5.0,4.0,3.0,5.0,3.0,4.0,6.0,8.0,0.716264,0.167833,0.298911,0.240204,0.313897,0.418229,0.307192,0.274043,0.621995,0.857292,1.0,2.4596361060875904,0.4223622103028998
15,com-Orkut,3.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,7.0,0.542524,0.154089,0.178464,0.246689,0.22958,0.264553,0.217228,0.178591,0.799863,1.17066,1.0,2.981898719421825,0.8354959570368089
16,road_usa,17.0,1.0,3155.0,10.0,5.0,7.0,4.0,4.0,16.0,23.0,2.13612,0.148747,45.0336,0.244282,0.121606,0.132336,0.115029,0.114969,0.766012,1.18211,1.0,2.1992225028274466,0.4634343020176652
17,kmer_A2a,14.0,1.0,263.0,10.0,6.0,5.0,4.0,3.0,13.0,17.0,21.5653,2.08044,51.8464,2.29012,2.1658,1.95305,1.74082,1.56151,7.85102,9.74833,1.0,8.74448383425713,1.807039953980594
18,kmer_V1r,17.0,1.0,147.0,10.0,5.0,5.0,4.0,3.0,12.0,16.0,20.927,2.06815,24.155,3.30964,2.37349,1.86997,1.94271,1.57254,8.97919,11.6954,0.9999999999999999,9.416668122194471,2.2122045519591564
