,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8
0,ca-GrQc.txt.gr,3,5,1,3,3,3,3,5,0.001627,0.000746,0.0003,0.000163,0.000315,0.000315,0.000172,0.000429,0.45851259987707443,0.9999999999999999,2.486666666666667,4.576687116564417,2.3682539682539683,2.3682539682539683,4.337209302325581,1.7389277389277389
1,ca-HepTh.txt.gr,3,5,1,4,3,3,3,4,0.000283,0.0009,0.000366,0.000208,0.00033,0.000369,0.00019,0.000452,3.1802120141342756,1.0,2.4590163934426226,4.326923076923077,2.7272727272727275,2.439024390243902,4.7368421052631575,1.991150442477876
2,facebook_combined.txt,5,4,1,5,3,3,4,3,0.000322,0.000558,0.000251,0.00029,0.000415,0.000393,0.000309,0.000296,1.7329192546583851,1.0,2.223107569721116,1.9241379310344828,1.344578313253012,1.4198473282442747,1.805825242718447,1.885135135135135
3,wiki,3,4,1,3,3,3,3,4,0.000313,0.000705,0.000313,0.000235,0.000387,0.000455,0.000211,0.000448,2.252396166134185,1.0,2.252396166134185,3.0000000000000004,1.8217054263565893,1.5494505494505495,3.3412322274881516,1.5736607142857144
4,as-caida20071105.txt.gr,3,4,1,3,3,3,3,4,0.001171,0.001243,0.000534,0.000216,0.000352,0.000379,0.000233,0.000667,1.0614859094790776,1.0,2.3277153558052435,5.75462962962963,3.53125,3.279683377308707,5.334763948497854,1.8635682158920541
5,ca-CondMat.txt.gr,3,5,1,3,3,3,3,4,0.000476,0.001707,0.000586,0.000282,0.00047,0.000475,0.00028,0.000794,3.5861344537815123,1.0,2.91296928327645,6.053191489361701,3.631914893617022,3.5936842105263156,6.0964285714285715,2.149874055415617
6,ca-HepPh.txt.gr,3,5,1,3,3,3,3,4,0.000524,0.001248,0.000575,0.000331,0.000513,0.00054,0.000313,0.000731,2.381679389312977,1.0,2.170434782608696,3.7703927492447127,2.4327485380116958,2.311111111111111,3.9872204472843444,1.707250341997264
7,email-Enron.gr,3,4,1,3,2,2,3,4,0.000575,0.00189,0.0006,0.000341,0.000472,0.000507,0.000348,0.000996,3.2869565217391306,1.0,3.15,5.542521994134897,4.004237288135593,3.727810650887574,5.431034482758621,1.8975903614457834
8,ca-AstroPh.txt.gr,3,4,1,3,2,2,3,4,0.000584,0.001438,0.000541,0.000326,0.000424,0.000442,0.000318,0.000935,2.462328767123288,1.0,2.6580406654343807,4.411042944785277,3.391509433962264,3.253393665158371,4.522012578616353,1.5379679144385028
9,loc-brightkite_edges.txt,3,4,1,3,3,3,3,4,0.000711,0.003015,0.000912,0.000475,0.00083,0.000942,0.00049,0.00154,4.240506329113924,1.0,3.3059210526315783,6.34736842105263,3.632530120481927,3.200636942675159,6.153061224489796,1.9577922077922079
10,soc-Epinions1.txt.gr,3,4,1,3,3,3,3,4,0.002023,0.003998,0.001521,0.000655,0.001125,0.001179,0.000671,0.00191,1.9762728620860106,1.0,2.62853385930309,6.103816793893129,3.553777777777778,3.3910093299406276,5.958271236959761,2.0931937172774866
11,com-dblp.ungraph.txt.gr,5,5,1,5,3,3,4,5,0.003192,0.010484,0.008396,0.001942,0.002821,0.003068,0.002432,0.006091,3.284461152882206,1.0,1.248689852310624,5.398558187435634,3.716412619638426,3.417209908735333,4.310855263157895,1.7212280413725167
12,com-youtube.ungraph.txt.gr,5,5,1,6,3,3,4,5,0.014328,0.043826,0.025932,0.011652,0.012592,0.01262,0.010975,0.018113,3.058766052484645,1.0,1.690035477402437,3.7612427051150017,3.4804637865311303,3.4727416798732174,3.993257403189066,2.419588141114117
13,amazon0601.txt.pr,4,5,1,4,3,3,4,5,0.004823,0.033135,0.008322,0.003852,0.006497,0.00652,0.004957,0.011635,6.8702052664316815,1.0,3.9816149963950975,8.602024922118378,5.1000461751577655,5.082055214723926,6.684486584627799,2.847872797593468
14,soc-LiveJournal1.txt,4,4,1,5,3,3,3,4,0.394228,0.946549,0.208933,0.265074,0.334816,0.339036,0.349242,0.480895,2.4010192071593086,1.0,4.53039491128735,3.570885865833692,2.827072182930326,2.7918834578038907,2.710295439838278,1.968307010885952
15,higgs-social_network.edgelist,4,4,1,4,3,3,4,4,0.039262,0.140308,0.027344,0.04188,0.061385,0.060003,0.050669,0.065658,3.573633538790688,1.0,5.131217086015213,3.3502387774594076,2.2857049767858597,2.3383497491792076,2.76910931733407,2.136952085046757
16,com-orkut.ungraph.txt.gr,2,4,1,3,3,3,2,3,0.384502,1.20257,0.278895,0.34536,0.630496,0.624019,0.359791,0.463787,3.127604017664407,1.0,4.311909499991035,3.482076673615937,1.9073396183322338,1.9271368339746064,3.3424126784716677,2.5929359813880075
17,road_usa.mtx,6,14,1,2365,5,4,3,14,0.18131,1.92918,0.200277,24.53,0.155733,0.141397,0.11833,0.436996,10.640229441288401,0.9999999999999999,9.632558905915305,0.0786457399103139,12.387740555951531,13.643712384279722,16.303388827854306,4.414639950937766
18,kmer_A2a.mtx,4,11,1,253,6,3,3,11,2.52544,18.499,2.18768,63.8743,2.9663,1.94104,1.87312,7.44068,7.325060187531676,0.9999999999999999,8.455989907116216,0.28961569833250617,6.236388767150997,9.530457898858343,9.876035705133681,2.4861974980781323
19,kmer_V1r.mtx,4,10,1,167,6,3,3,10,1.97611,19.8796,2.78627,29.8944,2.47357,1.8475,1.60553,6.38881,10.059966297422713,1.0,7.134843356889318,0.6649941126097194,8.036805103554782,10.760270635994587,12.381954868485796,3.1116279870586228
20,uk-2002.mtx,4,7,1,16,4,3,5,7,0.423747,2.3565,0.368238,1.00245,0.474615,0.395663,0.51436,0.806944,5.561101317531452,1.0,6.399393870268685,2.3507406853209636,4.965076957112608,5.955826043880778,4.581421572439536,2.920276995677519
21,delaunay_n10.mtx,5,5,1,6,3,3,4,5,0.000144,0.000421,0.000105,0.00012,0.000131,0.000128,0.000116,0.000151,2.923611111111111,1.0,4.009523809523809,3.5083333333333333,3.213740458015267,3.2890625,3.629310344827586,2.788079470198675
22,delaunay_n11.mtx,5,6,1,6,3,3,4,6,0.000211,0.000501,0.000135,0.000134,0.000125,0.00013,0.000121,0.000177,2.374407582938389,1.0,3.7111111111111112,3.738805970149254,4.008,3.853846153846155,4.140495867768595,2.8305084745762716
23,delaunay_n12.mtx,5,7,1,10,3,3,5,7,0.000232,0.000765,0.000206,0.000218,0.000157,0.000162,0.000175,0.000278,3.297413793103448,1.0,3.713592233009708,3.509174311926605,4.872611464968153,4.722222222222221,4.371428571428571,2.7517985611510793
24,delaunay_n13.mtx,7,8,1,10,3,3,5,8,0.000382,0.001105,0.00024,0.00026,0.000172,0.000169,0.000203,0.000413,2.892670157068063,1.0,4.604166666666667,4.250000000000001,6.424418604651163,6.538461538461539,5.443349753694582,2.675544794188862
25,delaunay_n14.mtx,5,8,1,10,3,3,5,8,0.000449,0.001537,0.000277,0.00035,0.000236,0.000243,0.000283,0.000697,3.4231625835189305,1.0,5.548736462093863,4.3914285714285715,6.512711864406779,6.325102880658437,5.431095406360424,2.2051649928263988
26,delaunay_n15.mtx,5,8,1,9,3,3,5,8,0.000561,0.002414,0.000418,0.000469,0.000312,0.000322,0.000462,0.001057,4.303030303030303,1.0,5.775119617224879,5.1471215351812365,7.737179487179487,7.496894409937888,5.225108225108224,2.283822138126774
27,delaunay_n16.mtx,5,8,1,10,3,3,5,8,0.001004,0.004468,0.000799,0.000869,0.000564,0.000582,0.000681,0.001762,4.4501992031872515,1.0,5.5919899874843555,5.141542002301496,7.921985815602835,7.6769759450171815,6.56093979441997,2.535754824063564
28,delaunay_n17.mtx,5,9,1,11,3,3,5,9,0.001467,0.008064,0.001166,0.001517,0.000889,0.000965,0.001138,0.003155,5.4969325153374236,1.0,6.915951972555747,5.3157547791694135,9.070866141732283,8.356476683937824,7.086115992970123,2.5559429477020603
