,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8
0,ca-GrQc.txt.gr,5,1,3,3,3,2,3,5,0.000778,0.000264,0.000171,0.00017,0.000281,0.000231,0.000171,0.000383,1.0,2.946969696969697,4.549707602339182,4.576470588235294,2.7686832740213525,3.367965367965368,4.549707602339182,2.031331592689295
1,ca-HepTh.txt.gr,5,1,4,4,3,2,4,4,0.000974,0.000323,0.000191,0.000203,0.00032,0.000246,0.000239,0.000384,1.0,3.015479876160991,5.0994764397905765,4.798029556650246,3.0437499999999997,3.9593495934959346,4.075313807531381,2.5364583333333335
2,facebook_combined.txt,4,1,5,5,3,2,4,3,0.000698,0.000243,0.000258,0.000323,0.000346,0.000299,0.000352,0.000266,1.0,2.872427983539095,2.7054263565891477,2.1609907120743035,2.0173410404624277,2.3344481605351173,1.9829545454545456,2.6240601503759398
3,wiki,4,1,3,3,3,2,3,4,0.000879,0.000339,0.000191,0.000257,0.000401,0.000284,0.000225,0.000482,1.0,2.592920353982301,4.602094240837697,3.4202334630350193,2.1920199501246884,3.095070422535211,3.9066666666666667,1.8236514522821576
4,as-caida20071105.txt.gr,4,1,3,3,3,2,3,4,0.001335,0.000536,0.00021,0.000254,0.000349,0.000292,0.000245,0.000662,0.9999999999999999,2.4906716417910446,6.357142857142857,5.255905511811024,3.8252148997134667,4.571917808219178,5.448979591836735,2.016616314199396
5,ca-CondMat.txt.gr,5,1,3,3,3,2,3,4,0.00191,0.000583,0.000256,0.000289,0.000433,0.000351,0.000274,0.00077,0.9999999999999999,3.2761578044596917,7.4609375,6.608996539792388,4.4110854503464205,5.4415954415954415,6.97080291970803,2.480519480519481
6,ca-HepPh.txt.gr,5,1,3,3,3,2,3,4,0.001417,0.000567,0.000315,0.000352,0.000511,0.000442,0.000321,0.000716,0.9999999999999999,2.4991181657848323,4.498412698412698,4.0255681818181825,2.772994129158513,3.205882352941176,4.414330218068536,1.9790502793296092
7,email-Enron.gr,4,1,3,3,2,1,3,4,0.002008,0.000651,0.000312,0.000376,0.00046,0.000362,0.000333,0.000991,1.0,3.084485407066052,6.435897435897435,5.340425531914894,4.3652173913043475,5.5469613259668495,6.030030030030029,2.026236125126135
8,ca-AstroPh.txt.gr,4,1,3,3,2,1,3,4,0.001619,0.000534,0.000292,0.000339,0.000421,0.000315,0.000308,0.000926,1.0,3.0318352059925098,5.544520547945205,4.775811209439528,3.8456057007125897,5.139682539682539,5.2564935064935066,1.748380129589633
9,loc-brightkite_edges.txt,4,1,3,3,3,2,3,4,0.003218,0.000975,0.000436,0.000505,0.000837,0.000673,0.000491,0.001466,1.0,3.3005128205128202,7.380733944954128,6.372277227722772,3.8446833930704902,4.781575037147102,6.553971486761711,2.1950886766712143
10,soc-Epinions1.txt.gr,4,1,3,3,3,2,3,4,0.004324,0.001538,0.000626,0.000702,0.001081,0.000913,0.000662,0.001903,1.0,2.8114434330299085,6.9073482428115005,6.159544159544159,4.0,4.736035049288062,6.531722054380664,2.2722017866526536
11,com-dblp.ungraph.txt.gr,5,1,5,5,3,2,4,5,0.012034,0.008095,0.00259,0.00201,0.002733,0.002187,0.002403,0.005557,0.9999999999999999,1.4865966646077824,4.646332046332047,5.987064676616915,4.403219904866447,5.502514860539551,5.007906783187681,2.1655569551916503
12,com-youtube.ungraph.txt.gr,5,1,5,6,3,2,4,5,0.043444,0.025637,0.013102,0.012037,0.012766,0.010395,0.011235,0.018196,0.9999999999999999,1.6945820493817532,3.31582964432911,3.60920495139985,3.4031019896600347,4.1793169793169795,3.866844681797953,2.3875577049901078
13,amazon0601.txt.pr,5,1,4,4,3,2,4,5,0.044462,0.008375,0.005104,0.004216,0.007632,0.006224,0.006289,0.014051,1.0,5.30889552238806,8.711206896551724,10.546015180265655,5.825733752620546,7.143637532133677,7.069804420416601,3.1643299409294716
14,soc-LiveJournal1.txt,4,1,4,5,3,3,3,4,0.92806,0.20743,0.393486,0.268744,0.331586,0.332084,0.350508,0.483721,0.9999999999999999,4.47408764402449,2.3585591355219755,3.453323609085226,2.798851579982267,2.794654364558365,2.647756969883712,1.9185853002040432
15,higgs-social_network.edgelist,4,1,4,4,3,2,4,4,0.139656,0.024719,0.032297,0.035592,0.051457,0.041815,0.044432,0.057754,0.9999999999999999,5.64974311258546,4.324116791033223,3.923803101820634,2.7140330761606775,3.339854119335167,3.1431400792221824,2.418118225577449
16,com-orkut.ungraph.txt.gr,4,1,2,3,3,3,2,3,1.18887,0.262083,0.32257,0.309263,0.572003,0.576924,0.322212,0.457569,1.0,4.536234704273074,3.6856186254146386,3.844203800648639,2.078433155070865,2.0607047028724756,3.6897136047074603,2.5982310864590916
17,road_usa.mtx,14,1,6,2369,5,4,3,14,2.27458,0.193439,0.201906,32.6003,0.152582,0.141144,0.118004,0.442907,1.0,11.758642259316888,11.265539409428149,0.06977175056671257,14.907262979905886,16.115314855750157,19.27544828988848,5.13557022128799
18,kmer_A2a.mtx,11,1,4,242,6,3,3,11,19.7214,2.09394,2.00427,60.9418,3.01782,1.96856,1.86557,7.51273,1.0,9.418321441875126,9.839692257031237,0.3236103954920924,6.534982205698153,10.018185882066076,10.571246321499595,2.6250643907075055
19,kmer_V1r.mtx,10,1,4,168,6,3,3,10,19.9485,2.7466,2.03385,30.5445,2.49941,1.92671,1.58868,6.37325,1.0,7.262979683972913,9.808245445829337,0.653096302116584,7.98128358292557,10.353659865781566,12.556650804441423,3.130035696073432
