,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,3
21,delaunay_n11,6.0,1.0,5.0,4.0,3.0,5.0,2.0,4.0,8.0,10.0,0.0004096,0.000138,0.000115,0.0001148,0.0001138,0.0001512,9.88e-05,0.0001252,0.0004962,0.0009974,1.0,3.246527777777778,0.3608645310690853
22,delaunay_n12,6.0,1.0,5.0,4.0,3.0,5.0,2.0,4.0,8.0,11.0,0.0006948,0.0002884,0.000212,0.0002112,0.000208,0.0002616,0.00022,0.0002334,0.0008928,0.0021056,1.0,3.56794425087108,0.41066773611389606
23,delaunay_n13,7.0,1.0,6.0,5.0,3.0,5.0,2.0,4.0,9.0,12.0,0.001604,0.0005038,0.0004594,0.0004628,0.00041,0.0005496,0.000344,0.0004784,0.0020176,0.0046752,1.0,3.289772727272727,0.3299772036474164
24,delaunay_n14,7.0,1.0,7.0,5.0,3.0,5.0,2.0,4.0,10.0,13.0,0.0034076,0.0011748,0.0011282,0.0010498,0.0009242,0.0011312,0.0007758,0.0010216,0.0043636,0.0099414,1.0,3.4658599827139156,0.3430869267624914
25,delaunay_n15,7.0,1.0,7.0,5.0,3.0,5.0,2.0,4.0,10.0,13.0,0.006262,0.0021172,0.0017704,0.001796,0.001494,0.0019802,0.0012702,0.001728,0.0082176,0.0193272,1.0,3.2459516098304437,0.34276862413744547
26,delaunay_n16,7.0,1.0,10.0,5.0,3.0,5.0,2.0,4.0,10.0,14.0,0.0120038,0.0048336,0.0059486,0.0041672,0.0035296,0.0048238,0.0030894,0.0044298,0.0169124,0.0418798,1.0,3.4866369710467704,0.3239993377209322
27,delaunay_n17,8.0,1.0,8.0,5.0,3.0,5.0,2.0,4.0,11.0,14.0,0.0292192,0.0086496,0.0083496,0.0076538,0.0065558,0.0083682,0.0055978,0.0075632,0.0366858,0.0845012,1.0,2.8805432904588213,0.28662505551602446
28,delaunay_n18,8.0,1.0,10.0,5.0,3.0,5.0,2.0,4.0,11.0,15.0,0.062787,0.0181016,0.023388,0.0197426,0.0164038,0.0209128,0.0144194,0.0198798,0.082981,0.188515,1.0,3.8176069403433592,0.34578443856418606
29,delaunay_n19,9.0,1.0,9.0,6.0,3.0,5.0,2.0,4.0,11.0,15.0,0.151606,0.0353328,0.0497814,0.0442042,0.0333108,0.0436628,0.0294712,0.042369,0.172641,0.390678,1.0,3.180280206254495,0.3330610296262897
30,delaunay_n20,9.0,1.0,8.0,5.0,3.0,5.0,2.0,4.0,13.0,16.0,0.332512,0.0791936,0.0978846,0.0847796,0.0753584,0.0951582,0.0661658,0.086325,0.408871,0.836468,1.0,3.429674103365744,0.3880587081944721
31,delaunay_n21,9.0,1.0,10.0,6.0,3.0,5.0,2.0,4.0,13.0,17.0,0.701232,0.168402,0.229272,0.190122,0.156967,0.196548,0.138099,0.181077,0.82371,1.76973,1.0,3.922075593656965,0.39751909218284504
32,delaunay_n22,9.0,1.0,9.0,5.0,3.0,5.0,2.0,4.0,13.0,17.0,1.45185,0.329566,0.451727,0.367552,0.311513,0.401177,0.27265,0.37343,1.65681,3.57178,1.0,3.6883264430207965,0.39623671407502836
33,delaunay_n23,10.0,1.0,11.0,6.0,3.0,5.0,3.0,3.0,14.0,18.0,3.21109,0.600318,0.996401,0.789169,0.585206,0.785804,0.6654,0.681956,3.54466,7.5952,1.0,3.9500533257879162,0.40647800256454764
34,delaunay_n24,10.0,1.0,13.0,6.0,3.0,5.0,3.0,3.0,14.0,18.0,6.52091,1.30933,2.2201,1.60657,1.24276,1.6112,1.40105,1.41468,7.09427,15.2121,1.0,4.068951010493317,0.4227788603328418
35,,,,,,,,,,,,,,,,,,,,,,1.0,4.0589018841382565,0.4286659961478034
