,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3
0,ca-GrQc,5.0,1.0,5.0,6.0,3.0,2.0,7.0,9.0,9.0,0.001013,0.000253,0.000309,0.000273,0.000248,0.000201,0.000593,0.000727,0.000867,,,
1,ca-HepTh,6.0,1.0,5.0,7.0,3.0,2.0,7.0,9.0,9.0,0.001536,0.000461,0.000401,0.000358,0.000345,0.000258,0.00082,0.000985,0.001261,1.0,1.7082630691399663,1.168396770472895
2,ca-CondMat,6.0,1.0,5.0,5.0,3.0,2.0,7.0,9.0,9.0,0.002394,0.000797,0.0006,0.000418,0.000495,0.000399,0.001523,0.001861,0.00258,1.0,1.8731707317073172,1.218080888183981
3,as-caida,5.0,1.0,3.0,3.0,3.0,2.0,5.0,8.0,8.0,0.001962,0.00067,0.000365,0.002559,0.000486,0.000394,0.001363,0.001833,0.002288,0.9999999999999999,1.5718975705843727,0.9279069767441861
4,ca-HepPh,5.0,1.0,5.0,5.0,3.0,2.0,7.0,9.0,9.0,0.001675,0.000687,0.000595,0.000439,0.000582,0.000466,0.002119,0.002159,0.002845,1.0,1.4394717534849597,0.8575174825174826
5,email-Enron,4.0,1.0,3.0,4.0,3.0,2.0,5.0,7.0,7.0,0.002158,0.000831,0.00052,0.000442,0.000662,0.000619,0.00132,0.001575,0.003006,1.0,0.7904672015101465,0.5887521968365553
6,ca-AstroPh,5.0,1.0,5.0,4.0,3.0,2.0,7.0,9.0,9.0,0.002247,0.000719,0.000732,0.000424,0.00064,0.000547,0.001931,0.001894,0.00305,1.0,1.634848484848485,0.7178975382568198
7,loc-Brightkite,6.0,1.0,5.0,5.0,3.0,2.0,7.0,8.0,8.0,0.003955,0.00142,0.000916,0.000634,0.000799,0.000668,0.00188,0.001989,0.002776,1.0,1.1636457793889177,0.7367213114754096
8,soc-Epinions1,4.0,1.0,3.0,3.0,3.0,2.0,5.0,6.0,6.0,0.00466,0.001894,0.001152,0.000907,0.001515,0.001268,0.005631,0.003132,0.004612,1.0,2.1037234042553195,1.4247118155619598
9,com-DBLP,6.0,1.0,5.0,9.0,4.0,3.0,7.0,9.0,9.0,0.020153,0.006958,0.003335,0.004985,0.003433,0.002923,0.007827,0.009831,0.021946,1.0,0.8275617119516959,1.0104076322636601
10,com-Youtube,6.0,1.0,5.0,6.0,3.0,2.0,6.0,8.0,8.0,0.048408,0.019746,0.015323,0.012968,0.011755,0.009678,0.035027,0.044772,0.050438,0.9999999999999999,2.574805161620033,0.9182994623165953
11,amazon0601,5.0,1.0,3.0,4.0,3.0,2.0,6.0,9.0,9.0,0.031384,0.009381,0.014144,0.008989,0.009525,0.009776,0.037535,0.063233,0.05487,1.0,1.3820195848916548,0.9597525675086244
12,higgs-twitter,4.0,1.0,3.0,4.0,3.0,2.0,5.0,7.0,7.0,0.094119,0.019482,0.038071,0.034921,0.046043,0.036148,0.122231,0.157881,0.167193,1.0,0.8361262821366725,0.5719701111718607
13,wikipedia-20051105,4.0,1.0,5.0,9.0,3.0,2.0,7.0,9.0,9.0,0.141418,0.035166,0.083815,0.100678,0.061703,0.04871,0.226292,0.272202,0.319283,1.0,0.7700092447906013,0.5629362473309288
14,soc-LiveJournal1,4.0,1.0,5.0,5.0,3.0,3.0,6.0,8.0,8.0,0.585887,0.150455,0.361767,0.256522,0.270468,0.271311,0.863896,1.05743,1.1431,1.0,0.6249359234970746,0.44292367586122655
15,com-Orkut,3.0,1.0,3.0,3.0,2.0,2.0,4.0,7.0,7.0,0.617475,0.159359,0.28007,0.199821,0.231329,0.224073,0.883829,1.23171,1.35635,1.0,0.6781915878763185,0.5125422097804218
16,road_usa,17.0,1.0,5.0,3144.0,5.0,4.0,16.0,23.0,23.0,2.14125,0.147976,0.152558,48.373,0.176016,0.151444,0.745047,1.04637,1.17625,0.9999999999999999,0.6986362746639905,0.4552475393519372
17,kmer_A2a,14.0,1.0,7.0,260.0,6.0,4.0,13.0,17.0,17.0,19.752,1.61747,3.0428,57.6844,2.93186,2.36702,8.77496,9.92437,11.0901,1.0,2.873979762350563,1.8204038257173218
18,kmer_V1r,17.0,1.0,5.0,147.0,5.0,3.0,12.0,16.0,16.0,24.8436,2.14196,2.11096,28.7843,2.3581,1.76519,9.12135,11.3909,12.3455,1.0,2.2509504316828792,1.7810479616955661
19,uk-2002,13.0,1.0,5.0,16.0,4.0,3.0,9.0,11.0,11.0,3.05956,0.290335,0.420348,0.919796,0.386995,0.322945,3.15755,3.65143,3.53341,1.0,2.7236757716785345,2.0123607792312987
20,delaunay_n10,5.0,1.0,3.0,5.0,3.0,2.0,7.0,10.0,10.0,0.003384,0.000155,0.000175,0.000178,0.000213,0.000175,0.000485,0.000593,0.000634,1.0,0.9689664455036341,0.8658944192720346
21,delaunay_n11,6.0,1.0,3.0,7.0,3.0,2.0,8.0,10.0,10.0,0.001086,0.000197,0.00017,0.001906,0.000212,0.000164,0.000549,0.000628,0.000694,1.0,6.977319587628865,5.337539432176656
22,delaunay_n12,6.0,1.0,5.0,8.0,3.0,2.0,8.0,11.0,11.0,0.001143,0.000241,0.00026,0.000284,0.000226,0.000169,0.000642,0.000788,0.000911,1.0,1.9781420765027322,1.5648414985590777
