,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3
0,ca-GrQc,5.0,1.0,5.0,5.0,3.0,2.0,5.0,9.0,9.0,0.002345,0.002253,0.000321,0.000903,0.000239,0.000196,0.001461,0.000872,0.000872,,,
1,ca-HepTh,6.0,1.0,5.0,6.0,4.0,2.0,5.0,9.0,9.0,0.001094,0.000726,0.000334,0.000295,0.000334,0.00025,0.000496,0.001359,0.001438,1.0,2.689220183486238,2.689220183486238
2,ca-CondMat,6.0,1.0,5.0,6.0,3.0,2.0,4.0,9.0,9.0,0.003,0.001249,0.000626,0.000487,0.000524,0.000438,0.000943,0.003316,0.003465,1.0,0.8050036791758646,0.760778859527121
3,as-caida,5.0,1.0,3.0,3.0,3.0,2.0,3.0,8.0,8.0,0.001875,0.001027,0.000371,0.000304,0.00047,0.000403,0.001051,0.004208,0.002628,1.0,0.9047044632086853,0.8658008658008658
4,ca-HepPh,5.0,1.0,3.0,4.0,3.0,2.0,5.0,9.0,9.0,0.001399,0.00102,0.000502,0.000492,0.000599,0.00052,0.001307,0.003443,0.003295,1.0,0.4455798479087452,0.7134703196347031
5,email-Enron,4.0,1.0,3.0,4.0,3.0,2.0,4.0,7.0,7.0,0.002321,0.000955,0.000533,0.000465,0.000854,0.000561,0.001208,0.003809,0.003593,1.0,0.4063316874818472,0.42458270106221546
6,ca-AstroPh,5.0,1.0,5.0,4.0,3.0,2.0,4.0,9.0,9.0,0.002025,0.001045,0.000736,0.000478,0.000717,0.000537,0.001086,0.003795,0.003591,1.0,0.6093462851142032,0.6459782911216255
7,loc-Brightkite,6.0,1.0,5.0,5.0,3.0,2.0,4.0,8.0,8.0,0.004175,0.001718,0.000992,0.000721,0.000881,0.000751,0.001528,0.003386,0.003635,1.0,0.533596837944664,0.5639097744360901
8,soc-Epinions1,4.0,1.0,3.0,3.0,3.0,2.0,3.0,6.0,6.0,0.005219,0.002739,0.001334,0.001046,0.0018,0.001428,0.002392,0.00681,0.00588,1.0,1.233018310691081,1.1485557083906466
9,com-DBLP,6.0,1.0,5.0,7.0,4.0,3.0,5.0,9.0,9.0,0.015296,0.012618,0.004057,0.003526,0.004314,0.003582,0.006591,0.021187,0.01987,0.9999999999999999,0.7663729809104258,0.8875850340136054
