ca-GrQc,1,1,1,0.833333333,1,1,1,1,1,0.72260612,1.513833992,1.216828479,1.113553114,1.338709677,1.208955224,1.639123103,1.880330124,2.22260669
ca-HepTh,1,1,1,1,1,1,1,1,1,1.154296875,1.663774403,1.872817955,1.969273743,1.739130435,2.089147287,2.086585366,2.574619289,2.931007137
ca-CondMat,1,1,1,1,1,1,1,1,1,2.147451963,1.992471769,3.19,3.559808612,3.244444444,3.085213033,3.514773473,4.207415368,4.532170543
as-caida,1,1,1,1,1,1,1,1,1,2.473496432,2.294029851,3.728767123,0.366549433,3.417695473,3.472081218,2.833455613,3.571194763,4.313374126
ca-HepPh,1,1,1,1,1,1,1,1,1,2.271641791,1.666666667,2.878991597,2.596810934,2.426116838,2.422746781,2.345917886,3.116257527,3.700527241
email-Enron,1,1,1,0.75,1,1,1,1,1,2.695551437,2.632972323,3.865384615,2.868778281,3.948640483,3.416801292,3.693181818,4.84,4.161343979
ca-AstroPh,1,1,1,1.25,1,1,0.857142857,1,1,3.045393858,2.513212796,3.933060109,4.405660377,3.690625,3.407678245,3.500258933,5.940337909,5.800655738
loc-Brightkite,1,1,1,1,1,1,0.857142857,1,1,2.589380531,2.163380282,3.967248908,3.905362776,4.195244055,4.145209581,3.965425532,5.466063348,6.339697406
soc-Epinions1,1,1,1,0.666666667,0.666666667,0.5,0.8,1,1,4.070386266,2.729144667,5.439236111,3.367144432,3.914191419,3.358044164,2.440063932,6.045019157,7.382046834
com-DBLP,1,1,1,0.777777778,0.75,0.666666667,1,1,1,7.725450305,3.881431446,9.876761619,5.917151454,8.781532188,8.113924051,12.36386866,12.67388872,9.104438166
com-Youtube,1,1,1,0.833333333,1,1,1,1,1,8.51472897,3.85597083,8.977876395,6.945326959,10.74189707,10.322174,5.245981671,5.675064773,8.17268726
amazon0601,1,1,1,0.75,1,1,0.833333333,1,1,12.46899694,6.762925061,7.321903281,6.877071977,13.51569554,10.00930851,5.345943786,5.510271535,10.23823583
higgs-twitter,1,1,1,1,1,1,1,1,1,13.67524092,11.73077713,10.64807859,8.503651098,12.48074626,12.60905168,5.447644215,6.266745207,9.617029421
wikipedia-20051105,1,1,1,1,1,1,1,1,1,14.3241313,12.47682421,13.90896618,11.07232961,14.22151273,13.65095463,6.702269634,6.957847481,9.997995509
soc-LiveJournal1,1,1,1,1,1,1,1,1,1,12.6488555,10.23249477,10.26290402,9.509398804,11.48361359,11.14086786,6.24961801,6.0589448,9.055113288
com-Orkut,1,1,1,0.666666667,1,1,0.75,1,1,14.83269768,14.50969195,14.58881708,8.463274631,16.95909289,16.96438214,5.78642475,6.335590358,9.501234932
road_usa,1,1,1,1.003498728,1,0.75,1,1,1,4.897046118,10.42554198,11.12783335,6.225642404,9.412269339,9.902868387,10.02997126,9.362061221,12.19664187
kmer_A2a,1,1,0.714285714,0.926923077,1,0.75,1,1,1,5.715168084,9.925500937,5.247830945,4.5875488,6.768672447,6.030240556,7.283691322,7.184899394,9.579174218
kmer_V1r,1,1,1,1.054421769,1.2,1,1,1,1,5.038118469,8.71370147,7.203641945,4.804042481,7.858699801,8.437901869,7.56639094,7.003090186,9.685067433
uk-2002,1,1,1,1,1,1,1,1,1,9.93718051,8.880534555,13.92405816,11.39904935,14.55272032,14.60753379,5.108897721,5.057005064,7.951157664
delaunay_n10,1,1,1,0.8,0.666666667,0.5,1,1,1,0.070626478,0.716129032,0.508571429,0.393258427,0.314553991,0.308571429,0.577319588,0.745362563,0.891167192
delaunay_n11,1,1,1.666666667,0.714285714,1,1,1,1,1,0.428176796,0.979695431,0.964705882,0.066631689,0.617924528,0.676829268,1.054644809,1.332802548,1.560518732
delaunay_n12,1,1,1,0.625,1,1,1,1,1,0.692038495,1.294605809,1.192307692,0.866197183,1.039823009,1.26035503,1.602803738,1.926395939,2.502744237
delaunay_n13,1,1,1,0.666666667,1,1,1,1,1,0.943034056,2.034246575,1.703488372,1.417127072,1.810810811,2.135,2.181144068,3.081427264,3.351585014
delaunay_n14,1,1,1,0.636363636,1,1,1.111111111,1,1,0.294716142,1.944869832,2.961445783,2.110898662,2.880877743,2.916030534,3.417358491,4.272727273,5.098541981
delaunay_n15,1,1,1,0.7,1,1,1,1,1,2.126912378,2.186983471,3.593309859,2.647226174,3.543237251,3.655913978,3.496489054,5.258613861,6.010736196
delaunay_n16,1,1,1,0.714285714,1,1,1,1,1,2.109974034,3.412688442,5.719512195,4.746978852,5.365168539,5.450166113,5.529320509,8.643385617,6.50665017
delaunay_n17,1,1,1,0.8,1,1,1,1,1,3.462677863,3.05876217,5.736454849,5.072093023,2.360473458,6.046038544,6.237669646,10.26523742,8.729098023
delaunay_n18,1,1,1,0.833333333,1,1,1,1,1,5.486744343,3.320219741,7.770772595,6.509246481,7.819626168,4.566055626,9.250496579,11.09745656,12.74585451
delaunay_n19,1,1,1,0.692307692,1,1,1,1,1,6.69290962,4.317695473,10.5021449,7.97054563,10.69199114,10.61532873,5.952028108,8.448373798,11.46055839
delaunay_n20,1,1,1,0.615384615,1,1,1.083333333,1,1,5.984025096,4.518206645,9.166682781,6.412918944,11.10907529,10.83314078,7.351880054,9.091278386,11.47874595
delaunay_n21,1,1,1,0.769230769,1,1,1,1,1,6.578821908,6.135633696,10.94944324,7.22467014,10.48041145,12.01023751,7.462336983,10.47782929,13.06127879
delaunay_n22,1,1,1,0.642857143,1,1,1,1,1,5.172809586,5.379573095,9.107322514,5.599799411,9.764891739,9.931283054,5.739208589,7.064034617,9.97641269
delaunay_n23,1,1,1,0.846153846,1,1,1.076923077,1,1,5.39127625,4.647294263,9.37249601,6.706871124,9.008887869,10.29815555,7.834023045,9.466397188,12.26917782
delaunay_n24,1,1,1,0.764705882,1,1,1,1,1,4.780709305,4.909446249,7.431769577,4.321599168,7.716471076,8.430737754,6.472191549,8.919151517,11.72503789
