,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3
0,ca-GrQc,5.0,1.0,5.0,6.0,3.0,2.0,7.0,9.0,9.0,0.000665,0.000347,0.000277,0.000252,0.000269,0.000195,0.000527,0.000624,0.000799,,,
1,ca-HepTh,6.0,1.0,5.0,6.0,4.0,2.0,7.0,9.0,9.0,0.001159,0.000624,0.000341,0.000308,0.000374,0.000245,0.000872,0.001025,0.001513,1.0,1.2618595825426946,0.8322903629536922
2,ca-CondMat,6.0,1.0,5.0,6.0,3.0,2.0,7.0,9.0,9.0,0.002133,0.001336,0.000529,0.000469,0.000473,0.000391,0.001731,0.002059,0.003422,1.0,1.3291284403669725,0.7660277594183742
3,as-caida,5.0,1.0,3.0,3.0,3.0,2.0,5.0,8.0,8.0,0.001774,0.001021,0.000364,0.000302,0.000469,0.000398,0.001515,0.001954,0.00264,1.0,1.2322357019064125,0.6233196960841613
4,ca-HepPh,5.0,1.0,5.0,5.0,3.0,2.0,7.0,9.0,9.0,0.001374,0.001046,0.000665,0.00047,0.000599,0.000636,0.002121,0.002228,0.003309,1.0,1.1709570957095707,0.671969696969697
5,email-Enron,4.0,1.0,3.0,4.0,3.0,2.0,5.0,7.0,7.0,0.002154,0.000959,0.00058,0.0005,0.000787,0.000612,0.001458,0.001794,0.003495,1.0,0.6478076379066479,0.41523118766999095
6,ca-AstroPh,5.0,1.0,5.0,4.0,3.0,2.0,7.0,9.0,9.0,0.00204,0.001078,0.000752,0.000491,0.000641,0.000535,0.001979,0.002189,0.003528,1.0,1.477366255144033,0.6163090128755365
7,loc-Brightkite,6.0,1.0,5.0,5.0,3.0,2.0,6.0,8.0,8.0,0.004174,0.001692,0.001005,0.00073,0.000888,0.000754,0.002038,0.002267,0.003434,1.0,1.030823648307226,0.5782312925170069
8,soc-Epinions1,4.0,1.0,3.0,3.0,3.0,2.0,4.0,6.0,6.0,0.005191,0.002638,0.001348,0.001052,0.001819,0.001459,0.003222,0.004002,0.006025,1.0,2.0480863591756626,1.215492137449039
9,com-DBLP,6.0,1.0,5.0,7.0,4.0,3.0,7.0,9.0,9.0,0.015028,0.01259,0.003943,0.003515,0.004235,0.003579,0.009789,0.010629,0.019442,1.0,1.6111111111111114,0.8615767634854773
10,com-Youtube,6.0,1.0,5.0,6.0,3.0,2.0,6.0,8.0,8.0,0.064517,0.022253,0.021715,0.016794,0.017215,0.014026,0.038325,0.046981,0.060535,1.0,1.5351925630810093,0.7729657442649933
11,amazon0601,5.0,1.0,3.0,4.0,3.0,2.0,6.0,9.0,9.0,0.045321,0.017272,0.011263,0.00924,0.015334,0.012099,0.04271,0.05737,0.070314,1.0,1.6834181343770387,1.065780127199141
12,higgs-twitter,4.0,1.0,3.0,4.0,3.0,2.0,5.0,7.0,7.0,0.146224,0.033224,0.058172,0.052852,0.077109,0.062379,0.142762,0.1796,0.199394,1.0,1.0611332240693048,0.6445515828995648
13,wikipedia-20051105,4.0,1.0,5.0,9.0,3.0,2.0,7.0,9.0,9.0,0.254592,0.063275,0.167315,0.18729,0.111682,0.087797,0.302536,0.367524,0.436779,1.0,1.0242501506003,0.7333420263398096
14,soc-LiveJournal1,4.0,1.0,5.0,5.0,3.0,3.0,6.0,8.0,8.0,0.769809,0.211449,0.5208,0.338657,0.416089,0.427814,0.891789,1.10215,1.2773,1.0,0.841526297696803,0.5828851661824401
15,com-Orkut,3.0,1.0,3.0,3.0,2.0,2.0,4.0,7.0,7.0,0.90473,0.248766,0.452014,0.295639,0.401475,0.395357,1.25837,1.7119,1.89181,1.0,0.8632187658739904,0.6026845690127612
16,road_usa,17.0,1.0,7.0,3153.0,5.0,4.0,16.0,23.0,23.0,2.24397,0.209012,0.277988,69.6036,0.214435,0.196462,0.819856,1.08645,1.3464,0.9999999999999999,0.7189697783640742,0.47823512932059775
17,kmer_A2a,14.0,1.0,7.0,245.0,6.0,3.0,13.0,17.0,17.0,19.5991,2.28647,3.25519,56.3531,2.73671,2.07846,9.09404,9.9589,11.6211,1.0,2.737029429558361,1.666644385026738
18,kmer_V1r,17.0,1.0,5.0,149.0,6.0,3.0,12.0,16.0,16.0,25.9753,2.83962,2.40691,26.6095,2.5434,1.85118,9.23967,14.0106,14.7609,1.0,2.155158763321912,1.686509882885441
19,uk-2002,13.0,1.0,5.0,16.0,4.0,3.0,9.0,11.0,11.0,4.52376,0.562449,0.492747,0.981089,0.464844,0.389185,4.65908,5.27236,5.3649,1.0,2.811280056538816,1.759736872412929
20,delaunay_n10,5.0,1.0,3.0,6.0,3.0,2.0,7.0,10.0,10.0,0.000447,0.000119,0.000105,0.000106,0.000132,0.000105,0.000262,0.000332,0.000394,1.0,0.9709556393107652,0.8432142258010401
