,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9
0,ca-GrQc,5.0,1.0,5.0,5.0,5.0,2.0,7.0,9.0,9.0,0.002767,0.00157,0.000307,0.00022,0.000267,0.000199,0.000634,0.000641,0.000838,,,,,,,,,
1,ca-HepTh,6.0,1.0,5.0,6.0,5.0,2.0,7.0,9.0,9.0,0.001018,0.000626,0.000339,0.000315,0.00035,0.000233,0.000895,0.000996,0.001511,1.0,1.7624203821656053,9.013029315960912,12.577272727272726,10.363295880149813,13.904522613065325,4.364353312302839,4.316692667706708,3.3019093078758948
2,ca-CondMat,6.0,1.0,5.0,5.0,5.0,2.0,7.0,9.0,9.0,0.002249,0.001436,0.000548,0.000436,0.00064,0.000396,0.001978,0.002303,0.003588,1.0,1.6261980830670926,3.002949852507375,3.231746031746032,2.908571428571429,4.369098712446353,1.1374301675977654,1.0220883534136547,0.6737260092653872
3,as-caida,5.0,1.0,3.0,3.0,3.0,2.0,5.0,8.0,8.0,0.001874,0.001057,0.00037,0.000303,0.000538,0.000403,0.0015,0.001956,0.002677,1.0,1.5661559888579388,4.104014598540147,5.158256880733945,3.5140624999999996,5.679292929292931,1.1370070778564207,0.9765523230568823,0.6268115942028986
4,ca-HepPh,5.0,1.0,5.0,4.0,5.0,2.0,7.0,9.0,9.0,0.001364,0.001022,0.000613,0.000496,0.000827,0.00049,0.002041,0.002366,0.003516,1.0,1.772942289498581,5.064864864864865,6.184818481848184,3.4832713754646845,4.650124069478908,1.2493333333333332,0.9580777096114521,0.7000373552484124
5,email-Enron,4.0,1.0,3.0,4.0,4.0,2.0,5.0,7.0,7.0,0.002215,0.000918,0.000585,0.00049,0.000899,0.00061,0.001509,0.001838,0.003599,1.0,1.3346379647749511,2.225122349102773,2.75,1.6493349455864568,2.783673469387755,0.6682998530132289,0.5765004226542688,0.3879408418657565
6,ca-AstroPh,5.0,1.0,5.0,4.0,4.0,2.0,7.0,9.0,9.0,0.002095,0.001214,0.000777,0.000518,0.000935,0.000606,0.002147,0.002228,0.003743,1.0,2.412854030501089,3.7863247863247858,4.520408163265306,2.46384872080089,3.6311475409836067,1.4678595096090128,1.2051142546245919,0.6154487357599332
7,loc-Brightkite,6.0,1.0,5.0,5.0,5.0,2.0,7.0,8.0,8.0,0.004084,0.001714,0.001011,0.000738,0.001158,0.000777,0.002206,0.002302,0.003416,1.0,1.7257001647446457,2.696267696267696,4.044401544401545,2.2406417112299466,3.4570957095709574,0.975780158360503,0.9403052064631957,0.5597114613946033
8,soc-Epinions1,4.0,1.0,3.0,3.0,3.0,2.0,4.0,6.0,6.0,0.005223,0.00275,0.001327,0.001035,0.001422,0.001494,0.003182,0.004041,0.006074,1.0,2.382730455075846,4.039564787339268,5.533875338753387,3.526770293609672,5.256113256113256,1.8513145965548503,1.7741094700260645,1.195550351288056
9,com-DBLP,6.0,1.0,5.0,7.0,5.0,3.0,7.0,9.0,9.0,0.015811,0.012671,0.004049,0.003548,0.003672,0.004114,0.009907,0.010772,0.019421,1.0,1.8992727272727277,3.93594574227581,5.046376811594204,3.672995780590717,3.495983935742972,1.6414204902576996,1.2925018559762436,0.8598946328613764
10,com-Youtube,6.0,1.0,5.0,6.0,5.0,2.0,6.0,8.0,8.0,0.064087,0.021837,0.019088,0.014633,0.014267,0.013392,0.037889,0.046286,0.059471,1.0,1.2478099597506116,3.904914793776241,4.456313416009019,4.305827886710239,3.843218279047156,1.595942263046331,1.4677868548087634,0.8141187374491529
11,amazon0601,5.0,1.0,3.0,4.0,4.0,2.0,6.0,9.0,9.0,0.044576,0.016065,0.010881,0.009216,0.010202,0.012363,0.039952,0.054382,0.067743,1.0,2.934789577322893,3.3574497066219617,4.379621403676622,4.4919744865774165,4.7854689366786145,1.691440787563673,1.3845871321781966,1.0776176623900726
12,higgs-twitter,4.0,1.0,3.0,4.0,4.0,2.0,5.0,7.0,7.0,0.145151,0.033668,0.059232,0.053589,0.064145,0.063901,0.143466,0.188667,0.238828,1.0,2.774727668845316,4.096682290230677,4.836805555555555,4.369339345226426,3.6055973469222677,1.1157388866639966,0.8196829833400757,0.6580163264101088
13,wikipedia-20051105,4.0,1.0,5.0,9.0,5.0,2.0,7.0,9.0,9.0,0.244517,0.062808,0.163818,0.185363,0.088921,0.095199,0.300206,0.364279,0.426982,1.0,4.311245099203992,2.4505503781739604,2.7085969135456907,2.262857588276561,2.271498098621305,1.0117449430527092,0.7693502308299809,0.6077637462944043
14,soc-LiveJournal1,4.0,1.0,5.0,5.0,5.0,3.0,6.0,8.0,8.0,0.760795,0.211126,0.514445,0.335657,0.374095,0.424443,0.963227,1.17355,1.35028,1.0,3.8930868679149153,1.4926137542882956,1.3191251760059992,2.7498228764858696,2.5684828622149394,0.8144973784667863,0.6712355090466373,0.5726634846433808
15,com-Orkut,3.0,1.0,3.0,3.0,3.0,2.0,4.0,7.0,7.0,0.924361,0.255808,0.449874,0.29029,0.316639,0.350584,1.00231,1.35793,1.61674,1.0,3.6035116470733115,1.4788655735792942,2.2665846384851203,2.0336946497547412,1.7924550528575096,0.7898397781623645,0.6482851178049507,0.5634349912610718
16,road_usa,17.0,1.0,5.0,3155.0,10.0,4.0,16.0,23.0,23.0,2.30679,0.229491,0.21613,47.8755,0.285455,0.159466,0.790731,1.35096,1.44537,1.0,3.6134952777082816,2.0547108746004437,3.18426745668125,2.9192897905817032,2.636632019715674,0.9222306472049565,0.6807132915540566,0.5717437559533382
