,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,3
0,ca-GrQc,5.0,1.0,6.0,5.0,3.0,5.0,2.0,4.0,7.0,9.0,0.0012082,0.000251,0.0002694,0.000642,0.0002664,0.0003074,0.0002212,0.0002402,0.0011424,0.0007938,,,
1,ca-HepTh,6.0,1.0,7.0,5.0,3.0,5.0,2.0,5.0,7.0,9.0,0.0018312,0.0007568,0.0003428,0.0003284,0.0002988,0.0003394,0.000247,0.000659,0.0008238,0.0011802,1.0,1.8819314641744547,1.5220458553791887
2,ca-CondMat,6.0,1.0,6.0,5.0,3.0,5.0,2.0,4.0,7.0,9.0,0.002248,0.0008156,0.0004112,0.00058,0.0004568,0.000502,0.0003676,0.0004092,0.0021856,0.0023964,0.9999999999999999,5.576126674786845,1.5516014234875446
3,as-caida,5.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,8.0,0.001975,0.0006448,0.0002812,0.000506,0.0004724,0.000347,0.000386,0.0002786,0.001364,0.002303,1.0,3.8758620689655174,0.9380737773326656
4,ca-HepPh,5.0,1.0,5.0,5.0,3.0,5.0,2.0,4.0,7.0,9.0,0.0023042,0.0006998,0.0003912,0.000628,0.0011872,0.0005328,0.000398,0.000405,0.0027684,0.0023546,1.0,3.9031620553359683,0.8575770733825445
5,email-Enron,4.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,7.0,0.002602,0.0011108,0.0004184,0.0010574,0.0005952,0.0004448,0.0008258,0.0004792,0.0010664,0.00292,1.0,3.669108280254777,0.9785950904612248
6,ca-AstroPh,5.0,1.0,4.0,4.0,3.0,5.0,2.0,4.0,7.0,9.0,0.0021124,0.0010568,0.000441,0.0011406,0.000596,0.0006468,0.0004896,0.0008092,0.001802,0.003261,1.0,2.4607527898619255,0.891095890410959
7,loc-Brightkite,6.0,1.0,5.0,5.0,3.0,5.0,2.0,4.0,7.0,8.0,0.0041926,0.0017948,0.0009826,0.0009576,0.000704,0.0007328,0.000567,0.0012198,0.001457,0.0026478,1.0,1.852007715237594,0.6477767555964428
8,soc-Epinions1,4.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,6.0,0.0050038,0.0017448,0.0007788,0.0012556,0.0013398,0.0009542,0.0013516,0.0007354,0.0021352,0.0039934,1.0,4.378237259816208,1.583427751340736
9,com-DBLP,6.0,1.0,7.0,5.0,3.0,5.0,2.0,5.0,7.0,9.0,0.011572,0.0067774,0.0023906,0.0035472,0.0030048,0.0031626,0.0018794,0.0033406,0.007452,0.0132782,1.0,3.9851863650844224,1.253017478840086
10,com-Youtube,6.0,1.0,6.0,5.0,3.0,5.0,2.0,4.0,6.0,8.0,0.0496384,0.019472,0.0121658,0.0122918,0.0116518,0.0142268,0.0096642,0.0136378,0.0339136,0.05058,1.0,3.262291384754173,0.8715036676657981
11,amazon0601,5.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,6.0,9.0,0.0304012,0.0087778,0.0074754,0.007638,0.0088746,0.0073484,0.0076296,0.0081108,0.0370878,0.0564848,1.0,4.038334499422379,0.9813839462238039
12,higgs-twitter,4.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,7.0,0.086576,0.0175566,0.0300518,0.0363028,0.0389636,0.0306646,0.0313546,0.0376872,0.127255,0.17012,0.9999999999999999,3.9802566116784495,0.5382191315185678
13,wikipedia-20051105,4.0,1.0,9.0,5.0,3.0,5.0,2.0,5.0,7.0,9.0,0.123162,0.0347238,0.0855116,0.0546394,0.056379,0.0736978,0.0455232,0.073444,0.217792,0.308031,1.0,2.384829820289344,0.5089113566893958
14,soc-LiveJournal1,4.0,1.0,5.0,4.0,3.0,5.0,3.0,4.0,6.0,8.0,0.594409,0.163644,0.239497,0.207555,0.251867,0.352157,0.251979,0.244533,0.585804,0.814163,0.9999999999999999,2.2540877096014964,0.3998363801045998
15,com-Orkut,3.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,7.0,0.549691,0.152617,0.177554,0.227387,0.226896,0.26124,0.214701,0.178816,0.847577,1.20845,1.0,2.863862590638626,0.7300859901518492
16,road_usa,17.0,1.0,3164.0,10.0,5.0,7.0,4.0,4.0,16.0,23.0,2.10227,0.160838,44.3085,0.213189,0.11874,0.131068,0.118528,0.117405,0.748844,1.11064,1.0,2.4174249187508523,0.45487277090487815
17,kmer_A2a,14.0,1.0,258.0,10.0,6.0,5.0,3.0,3.0,13.0,17.0,21.6964,2.12044,54.448,2.60098,2.4284,1.97866,1.64317,1.58756,8.17638,10.1579,1.0,9.861062249928468,1.8928455665202044
18,kmer_V1r,17.0,1.0,150.0,10.0,6.0,5.0,4.0,3.0,12.0,16.0,27.801,2.22424,27.6778,3.21587,2.55013,2.04199,2.00815,1.57016,9.81802,12.2211,1.0,8.341625079777623,2.1359139192155863
19,uk-2002,13.0,1.0,16.0,8.0,4.0,5.0,3.0,5.0,9.0,11.0,3.48525,0.293159,0.872154,0.616527,0.370159,0.40654,0.316847,0.40852,2.58224,3.10212,1.0,8.644939005619008,2.274836144045953
20,delaunay_n10,5.0,1.0,5.0,4.0,3.0,3.0,2.0,4.0,7.0,10.0,0.0008082,0.0001414,0.0001726,0.0001464,0.0001978,0.0001456,0.000155,0.0001726,0.0004148,0.0005466,0.9999999999999999,5.653037093265988,1.1235058605082977
21,delaunay_n11,6.0,1.0,7.0,4.0,3.0,5.0,2.0,4.0,8.0,10.0,0.0010052,0.0001638,0.0002196,0.0001768,0.0002058,0.0002124,0.0005522,0.0001704,0.0004988,0.0008632,1.0,5.520491803278688,1.4785949506037324
22,delaunay_n12,6.0,1.0,8.0,5.0,3.0,5.0,2.0,4.0,8.0,11.0,0.0014084,0.0001998,0.0002594,0.000221,0.0002108,0.0002258,0.0001558,0.0001782,0.000606,0.0007914,1.0,5.68552036199095,1.1645041705282668
23,delaunay_n13,7.0,1.0,9.0,5.0,3.0,5.0,2.0,4.0,9.0,12.0,0.0014688,0.0002978,0.0003216,0.0002972,0.000241,0.000327,0.0001862,0.0005748,0.0013058,0.0012088,1.0,6.372850678733031,1.7796310336113217
24,delaunay_n14,7.0,1.0,11.0,5.0,3.0,5.0,2.0,4.0,9.0,13.0,0.00191,0.0012046,0.0008676,0.0004358,0.0003088,0.0003606,0.0002492,0.0002968,0.0022508,0.0019058,1.0,4.942126514131897,1.215089344804765
25,delaunay_n15,7.0,1.0,10.0,5.0,3.0,5.0,2.0,5.0,10.0,13.0,0.0035046,0.0009072,0.0006262,0.0011708,0.000412,0.0004676,0.0003396,0.000506,0.0027564,0.0027018,0.9999999999999999,4.382744378155117,1.0022037989295833
26,delaunay_n16,7.0,1.0,13.0,6.0,3.0,5.0,2.0,5.0,10.0,14.0,0.0052602,0.0022428,0.0011134,0.001107,0.0010758,0.0006834,0.0004982,0.0007502,0.0030466,0.0042508,0.9999999999999999,2.993337888623164,1.2971352431712193
27,delaunay_n17,8.0,1.0,10.0,5.0,3.0,5.0,2.0,5.0,11.0,14.0,0.009065,0.0026898,0.0014522,0.0010936,0.0009206,0.0010712,0.0007638,0.0011702,0.0045928,0.006697,1.0,4.751761517615176,1.2374611837771712
28,delaunay_n18,8.0,1.0,13.0,5.0,3.0,5.0,2.0,5.0,11.0,15.0,0.0121712,0.0060266,0.0028056,0.0021472,0.0017,0.0018616,0.0015104,0.0020384,0.007545,0.0131438,1.0,8.28913679590344,1.3535911602209945
29,delaunay_n19,9.0,1.0,13.0,6.0,3.0,5.0,2.0,5.0,11.0,15.0,0.024145,0.0079686,0.0056454,0.004517,0.002827,0.0030956,0.0022592,0.0040068,0.0255276,0.0314758,1.0,5.668405365126676,0.9260031345577382
30,delaunay_n20,9.0,1.0,13.0,6.0,3.0,5.0,2.0,5.0,12.0,16.0,0.052131,0.0145262,0.0123638,0.0115856,0.0064404,0.0084252,0.0062212,0.0087606,0.061433,0.0809966,1.0,5.345361965906575,0.7670972620235229
31,delaunay_n21,9.0,1.0,13.0,6.0,3.0,5.0,2.0,5.0,13.0,17.0,0.102799,0.0282166,0.0464656,0.0218056,0.0136936,0.017903,0.0126082,0.0195834,0.112457,0.141211,1.0,4.49963748101091,0.6436196087243168
32,delaunay_n22,9.0,1.0,13.0,6.0,3.0,5.0,2.0,5.0,13.0,17.0,0.317206,0.061184,0.106093,0.0530894,0.046823,0.0582214,0.0358672,0.0601772,0.251942,0.319411,0.9999999999999999,4.714339435741278,0.7279815311838312
33,delaunay_n23,10.0,1.0,13.0,6.0,3.0,5.0,3.0,3.0,13.0,18.0,0.549391,0.11919,0.164716,0.0878302,0.0672124,0.0891062,0.0665996,0.0680528,0.422402,0.597103,1.0,5.974940383579395,0.9930966685555601
34,delaunay_n24,10.0,1.0,18.0,6.0,3.0,5.0,3.0,3.0,14.0,18.0,1.08676,0.249155,0.356909,0.206223,0.109026,0.141317,0.112206,0.111235,0.900492,1.09917,1.0,6.255149140045224,0.9200941881048996
35,,,,,,,,,,,,,,,,,,,,,,1.0,5.269829262497394,0.9887096627455262
