,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,8,9,10,11,12,13,14,15
0,ca-GrQc.txt.pr,6,6.0,6.0,7.0,4.0,1.0,4.0,0.001771,0.032984,0.000192,0.000388,0.000256,0.000222,0.000358,0.000426,0.9999999999999999,0.05369269949066214,9.223958333333332,4.564432989690721,6.91796875,7.9774774774774775,4.946927374301676,4.157276995305164
1,ca-HepTh.txt.pr,6,7.0,6.0,8.0,4.0,1.0,4.0,0.000948,0.012644,0.00028,0.000467,0.000264,0.000233,0.000593,0.00048,1.0,0.0749762733312243,3.3857142857142857,2.0299785867237685,3.5909090909090904,4.068669527896996,1.5986509274873524,1.975
2,as-caida20071105.txt.pr,6,5.0,5.0,5.0,4.0,1.0,4.0,0.00138,0.006571,0.000216,0.000623,0.000218,0.000304,0.000876,0.000666,1.0,0.21001369654542687,6.388888888888888,2.215088282504013,6.330275229357797,4.539473684210526,1.5753424657534245,2.072072072072072
3,facebook_combined.txt.pr,6,5.0,6.0,5.0,4.0,1.0,4.0,0.00084,0.001836,0.000326,0.001017,0.000444,0.000483,0.000426,0.000986,1.0,0.45751633986928103,2.5766871165644174,0.8259587020648969,1.8918918918918919,1.739130434782609,1.971830985915493,0.8519269776876269
4,ca-CondMat.txt.pr,6,6.0,6.0,6.0,5.0,1.0,4.0,0.001683,0.029938,0.000467,0.000827,0.000398,0.000457,0.001237,0.001103,1.0,0.056216180105551475,3.603854389721627,2.035066505441354,4.2286432160804015,3.6827133479212257,1.360549717057397,1.5258386219401632
5,ca-HepPh.txt.pr,6,6.0,6.0,6.0,4.0,1.0,4.0,0.00148,0.010231,0.000448,0.000779,0.000427,0.000372,0.000933,0.001024,1.0,0.14465839116410908,3.303571428571429,1.8998716302952505,3.466042154566744,3.9784946236559144,1.5862808145766345,1.4453125
6,ca-AstroPh.txt.pr,6,5.0,6.0,6.0,4.0,1.0,4.0,0.001699,0.01398,0.000482,0.000959,0.000398,0.00044,0.000954,0.001275,0.9999999999999999,0.12153075822603719,3.524896265560166,1.7716371220020857,4.268844221105527,3.861363636363636,1.780922431865828,1.332549019607843
7,email-Enron.gr.pr,6,6.0,6.0,7.0,4.0,1.0,4.0,0.002256,0.045728,0.000669,0.001525,0.000586,0.000634,0.000943,0.001729,1.0,0.04933519944016796,3.3721973094170403,1.4793442622950819,3.849829351535836,3.5583596214511046,2.3923647932131495,1.3048004626951997
8,loc-brightkite_edges.txt.pr,6,7.0,6.0,8.0,5.0,1.0,4.0,0.003172,0.035268,0.000644,0.001494,0.000574,0.000714,0.001503,0.001819,1.0,0.08993988885108313,4.925465838509316,2.123159303882195,5.526132404181185,4.442577030812324,2.110445775116434,1.7438152831225948
9,soc-Epinions1.txt.pr,6,6.0,6.0,7.0,4.0,1.0,4.0,0.00441,0.018958,0.000785,0.002058,0.000808,0.000884,0.001458,0.002267,1.0,0.23261947462812535,5.617834394904459,2.142857142857143,5.457920792079208,4.988687782805429,3.024691358024691,1.9453021614468462
10,amazon0601.txt.pr,6,5.0,6.0,5.0,4.0,1.0,3.0,0.033022,0.099892,0.005708,0.013808,0.005499,0.006699,0.008036,0.009488,0.9999999999999999,0.33057702318503984,5.785213735108619,2.3915121668597914,6.005091834879069,4.929392446633827,4.109258337481335,3.4803962900505905
