ca-GrQc,1,1,1,0.833333333,1,1,1,1,1,0.746759721,1.284482759,1.177536232,1.086021505,1.046511628,1.279069767,1.384920635,1.272980501,2.223175966,2.223175966,0.746759721
ca-HepTh,1,1,1,0.875,1,1,1.25,1,1,0.2278327,1.278867102,1.529262087,0.027917968,0.274662513,1.804081633,2.337579618,1.637867647,2.736890524,2.736890524,0.027917968
ca-CondMat,1,1,1,1,1,1,1,1,1,2.610356963,2.140215716,3.366141732,3.637614679,0.332792584,2.8675,3.527272727,3.197777778,4.271709937,4.271709937,0.332792584
as-caida,1,1,1,1,1,1,1,1,1,2.459816887,2.819320215,3.039325843,2.990990991,3.067829457,3.036057692,2.632716049,2.971311475,4.380748663,4.380748663,2.459816887
ca-HepPh,1,1,1,1,1,1,1,1,1,2.392080312,1.85077187,2.966292135,2.894190871,2.513611615,2.384269663,2.984581498,2.853121175,3.665124106,3.665124106,1.85077187
email-Enron,1,1,1,0.75,1,1,0.75,1,1,2.760812004,3.27056962,3.764018692,3.32,3.854294479,3.833962264,2.530418251,3.308917197,3.566858375,3.854294479,2.530418251
ca-AstroPh,1,1,1,1.25,1,1,1,1,1,3.602184797,2.517580872,4.001531394,4.797468354,3.368945869,3.301470588,4.118518519,3.94512772,5.169329073,5.169329073,2.517580872
loc-Brightkite,1,1,1,1,1,1,1,1,1,2.817887233,3.086407767,4.512418301,4.483630952,4.488461538,4.298165138,4.484018265,3.28957529,6.103827362,6.103827362,2.817887233
soc-Epinions1,1,1,1,0.666666667,0.666666667,0.5,0.666666667,1,1,4.461805556,3.530293941,5.549102429,3.892895016,4.270790378,3.523424879,3.750297265,4.779759036,4.838794233,5.549102429,3.523424879
com-DBLP,1,1,1,0.875,0.75,0.666666667,1,1,1,14.57347973,6.209365151,9.417500807,8.590342679,8.31285216,8.277421424,9.452191235,10.59503644,11.19950108,14.57347973,6.209365151
com-Youtube,1,1,1,0.833333333,1,1,1,1,1,8.776889313,7.689669525,10.69623474,9.982032046,12.06330935,11.69928763,11.17343884,12.22222936,7.843497705,12.22222936,7.689669525
amazon0601,1,1,1,0.75,1,1,0.75,1,1,13.98652943,10.80083948,13.69024313,11.04468085,13.43230991,12.63443674,7.032310553,16.37731707,9.488747954,16.37731707,7.032310553
higgs-twitter,1,1,1,1,1,1,1,1,1,15.14122436,13.11076399,12.29606219,12.02847745,12.49705495,12.54107501,10.67834059,17.28191571,8.657258178,17.28191571,8.657258178
wikipedia-20051105,1,1,1,1,1,1,1,1,1,14.89051619,13.68683592,14.03854494,15.48937501,14.10719537,13.63489093,13.49701065,15.64190184,8.387634427,15.64190184,8.387634427
soc-LiveJournal1,1,1,1,1,1,1,0.75,1,1,12.85180729,12.87282099,10.21726098,11.80180111,11.72344569,11.13572375,10.56330771,11.41851502,9.076588881,12.87282099,9.076588881
com-Orkut,1,1,1,0.666666667,1,1,0.666666667,1,1,15.58908165,14.88097347,14.8646277,10.64860988,16.24019785,16.184188,16.18803361,14.21202368,8.778416988,16.24019785,8.778416988
road_usa,1,1,1,0.995896465,1,0.75,0.75,1,1,4.972932921,12.64503112,11.62645634,8.341435084,11.45546593,12.659723,12.57121835,12.73935412,12.37017088,12.73935412,4.972932921
kmer_A2a,1,1,1,0.919847328,1,0.75,1,1,1,6.28432574,9.76334955,5.413351226,3.395341181,7.225881869,6.467473969,8.156789845,7.163854367,9.657867336,9.76334955,3.395341181
kmer_V1r,1,1,1,1.040268456,1.2,1,1,1,1,6.136213121,9.031142196,7.053771251,4.79058518,8.466832904,8.722366556,8.980187394,6.673045098,9.806626399,9.806626399,4.79058518
uk-2002,1,1,1,1,1,1,0.6,1,1,8.111950906,11.8540636,14.01758899,13.34734145,14.53801862,13.73669099,10.11548078,13.43616117,7.445165871,14.53801862,7.445165871
delaunay_n10,1,1,1,0.8,0.666666667,0.5,1,1,1,0.225458468,0.736486486,0.570247934,0.35326087,0.288557214,0.314814815,0.553571429,0.546296296,0.803754266,0.803754266,0.225458468
delaunay_n11,1,1,2,0.833333333,1,1,1,1,1,0.191358025,0.962264151,1.104,0.623255814,0.56281407,0.629139073,0.654450262,0.970833333,1.410048622,1.410048622,0.191358025
delaunay_n12,1,1,1,0.625,1,1,1,1,1,0.655297533,1.540983607,1.269565217,0.940350877,1.131818182,1.118343195,1.310880829,1.631097561,2.303703704,2.303703704,0.655297533
delaunay_n13,1,1,1,0.75,1,1,1,1,1,0.965109403,1.970212766,1.757894737,1.595808383,1.742971888,1.737089202,0.509032944,2.390588235,3.326825127,3.326825127,0.509032944
delaunay_n14,1,1,1,0.636363636,1,1,1,1,1,1.5608283,2.71468144,3.117117117,2.282809612,2.572755418,2.841698842,3.258785942,3.005249344,1.761306533,3.258785942,1.5608283
delaunay_n15,1,1,1,0.7,1,1,1,1,1,2.196048632,3.274368231,4.07079646,2.944979367,3.593380615,3.840707965,3.706638116,3.737636211,5.81943964,5.81943964,2.196048632
delaunay_n16,1,1,1,0.769230769,1,1,0.8,1,1,2.057616639,4.603225806,6.50911641,4.903433476,4.901388889,1.321034775,5.257378985,4.405379443,8.450726979,8.450726979,1.321034775
delaunay_n17,1,1,1,0.8,1,1,0.8,1,1,3.400357546,5.013779528,6.443435178,2.687875478,6.188931298,6.337557604,4.973684211,3.179306202,7.592335915,7.592335915,2.687875478
delaunay_n18,1,1,1,0.769230769,1,1,0.8,1,1,5.794743869,7.044034626,8.404164896,6.439594888,7.921298574,8.098050459,4.505491991,9.633354024,10.13713629,10.13713629,4.505491991
delaunay_n19,1,1,1,0.75,1,1,0.8,1,1,5.582023903,10.57353793,11.0174403,6.281531012,11.03559548,11.27465619,9.622973282,10.9497832,11.06686785,11.27465619,5.582023903
delaunay_n20,1,1,1,0.615384615,1,1,0.8,1,1,6.452134398,13.0060327,12.6346516,7.596936195,12.46774194,9.683806946,10.99207071,12.1994447,10.5341759,13.0060327,6.452134398
delaunay_n21,1,1,1,0.769230769,1,1,0.8,1,1,6.115974644,14.17890247,11.85577866,8.173192228,11.51722086,11.4770449,9.493551482,12.41206202,12.24038914,14.17890247,6.115974644
delaunay_n22,1,1,1,0.692307692,1,1,0.8,1,1,4.86602373,12.39847706,9.596327883,5.879627524,9.637520269,9.697854696,7.796224823,9.03920243,10.67274157,12.39847706,4.86602373
delaunay_n23,1,1,1,0.846153846,1,1,1,1,1,5.445268471,13.13619702,10.12805653,7.403152098,9.627749718,10.44226457,11.09014672,10.03988757,11.82688882,13.13619702,5.445268471
delaunay_n24,1,1,1,0.764705882,1,1,0.6,1,1,5.952211312,14.13897723,12.53231837,8.31747465,12.29237475,13.02860655,10.05765628,12.6599658,11.49483339,14.13897723,5.952211312
