ca-GrQc,1,1,0.833333333,1,1,1,1,1,1,1,0.562489654,1.319521912,0.887156644,0.444548287,0.93993994,1.020169161,0.977396022,1.122398002,0.829306723,2.396825397
ca-HepTh,1,1,1,1,1,1,1,1,1,1,0.801987768,0.849630021,1.650525088,1.640073082,1.578982597,1.977607543,1.63805668,0.964188164,1.930565671,2.969496695
ca-CondMat,1,1,0.833333333,1,1,1,1,1,1,1,2.465569395,1.895537028,3.440175097,2.822068966,3.305604203,3.81314741,3.284004353,4.020527859,2.505032943,4.936154231
as-caida,1,1,1,1,1,1,1,1,1,1,2.318582278,2.220223325,3.214793741,2.275889328,3.49872989,3.788472622,3.43626943,3.275664034,2.846920821,4.513764655
ca-HepPh,1,1,1,1,1,1,1,1,1,1,1.843937158,1.675050014,3.064928425,2.415923567,1.281839623,3.418168168,2.832663317,3.467654321,1.839907528,4.524080523
email-Enron,1,1,0.75,1,1,1,1,0.75,1,1,2.261414297,1.773676629,2.973231358,1.515036883,4.229166667,4.022032374,2.489222572,2.581803005,4.326706677,4.289726027
ca-AstroPh,1,1,1.25,1,1,1,1,1,0.857142857,1,3.391213785,1.698713096,4.17324263,1.736279151,3.932550336,4.278293135,3.818218954,2.734058329,3.543618202,5.415516713
loc-Brightkite,1,1,1,0.8,1,1,1,1,0.857142857,1,2.849973763,1.739803878,2.586199878,2.845864662,5.107386364,5.257368996,5.066666667,2.483193966,5.185861359,6.862602916
soc-Epinions1,1,1,0.666666667,0.666666667,0.666666667,1,0.5,0.666666667,0.8,1,3.343898637,2.930765704,3.852850539,3.418923224,4.353037767,6.101655837,3.109499852,4.038074517,5.957006369,7.505584214
com-DBLP,1,1,1,1,1,1,1,1,1,1,14.26322157,3.409567091,12.1044926,7.717467298,10.03660809,9.957882755,12.85282537,9.598814584,13.03617821,15.30237532
com-Youtube,1,1,0.833333333,0.8,1,1,1,1,1,1,8.577452134,3.990252671,7.439938187,6.694023658,10.8201308,9.89266736,10.64423336,7.892621977,5.698156492,8.237603796
amazon0601,1,1,0.75,1,1,1,1,0.75,0.833333333,1,13.10142363,7.367381348,8.373786018,8.969389893,14.9683366,14.25317076,13.11785677,7.687675692,5.529014932,10.12792822
higgs-twitter,1,1,1,1,1,1,1,1,1,1,15.25168638,13.20762562,10.11789643,9.418006325,15.10514942,13.41321915,14.8488579,12.57352629,5.322502063,9.573947802
wikipedia-20051105,1,1,1,1,1,1,1,1,1,1,16.78058167,12.88237462,13.49477732,12.8116524,16.27031341,16.15733441,14.90868392,16.04991558,7.057513591,10.11346261
soc-LiveJournal1,1,1,1,1,1,1,1,0.75,1,1,12.58936187,9.537104935,10.3219247,10.65283901,12.61300607,10.69645073,12.15644955,11.78912458,8.977541976,12.89483801
com-Orkut,1,1,0.666666667,0.666666667,1,1,1,0.666666667,0.75,1,16.79450819,15.4233801,9.733714814,8.587034439,17.80547035,16.16146073,18.0967485,19.17104733,6.199708109,10.85423476
